"filename", "language", "JSON", "CSS", "JavaScript", "C#", "XML", "Properties", "Markdown", "HTML", "comment", "blank", "total"
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Models\TasKingContext.cs", "C#", 0, 0, 0, 20, 0, 0, 0, 0, 0, 12, 32
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Models\Task.cs", "C#", 0, 0, 0, 29, 0, 0, 0, 0, 0, 11, 40
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Models\Tim.cs", "C#", 0, 0, 0, 27, 0, 0, 0, 0, 0, 11, 38
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Program.cs", "C#", 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Properties\launchSettings.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\Startup.cs", "C#", 0, 0, 0, 77, 0, 0, 0, 0, 2, 14, 93
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\TasKing.csproj", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\WeatherForecast.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\appsettings.Development.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\appsettings.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\TasKing.StaticWebAssets.xml", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\TasKing.deps.json", "JSON", 6030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6030
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\TasKing.runtimeconfig.dev.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\TasKing.runtimeconfig.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\appsettings.Development.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\appsettings.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\client\package-lock.json", "JSON", 27854, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27855
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\client\package.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\bin\Debug\net5.0\client\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\Debug\net5.0\.NETCoreApp,Version=v5.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\Debug\net5.0\TasKing.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 9, 5, 23
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\Debug\net5.0\TasKing.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\Debug\net5.0\TasKing.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 3, 0, 0, 0, 0, 9, 5, 17
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\Debug\net5.0\project.razor.json", "JSON", 15622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15622
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\Debug\net5.0\staticwebassets\TasKing.StaticWebAssets.xml", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\TasKing.csproj.EntityFrameworkCore.targets", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\TasKing.csproj.nuget.dgspec.json", "JSON", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\TasKing.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\TasKing.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\server\obj\project.assets.json", "JSON", 8167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8167
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\AdminRoutes.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 22, 16, 84
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\App.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 31, 20, 91
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\Classes\TaskDTO.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\ProtectedRoutes.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 2, 13, 62
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\Forms\AccountCreatedForm.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 0, 5, 12, 87
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\Forms\CreateOrJoinForm.js", "JavaScript", 0, 0, 343, 0, 0, 0, 0, 0, 25, 50, 418
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\Forms\CreateOrganisationForm.js", "JavaScript", 0, 0, 371, 0, 0, 0, 0, 0, 40, 77, 488
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\Forms\CreateTeamTasks.js", "JavaScript", 0, 0, 327, 0, 0, 0, 0, 0, 39, 59, 425
"f:\Desktop\fax\III Godina\SWE\TasKing\Aplikacija\TasKing\src\components\Forms\LoginForm.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 43, 30, 277
